No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
-1,Kemenkeu RI,@KemenkeuRI,Pemangkasan biaya dinas K/L 50% sesuai Inpres 1/2025.,0,
0,Detik Edu,@detikcom,"Kemendiktisaintek refocusing Rp5,2 T untuk riset prioritas.",0,
1,Kompas.com,@kompascom,Digitalisasi laporan BOSP lewat ARKAS hemat biaya admin.,0,
2,WhatsApp,Grup Paguyuban,Link pendaftaran bantuan kuota belajar 150GB tahun 2026.,1,
3,Antara News,@antaranews,Merger 1.000 PTS kecil untuk efisiensi operasional dikti.,0,
4,Facebook,Info Guru Indonesia,Dana BOS ditarik kembali ke pusat untuk bangun IKN.,1,
5,Kemendikdasmen,@Kemdikbud_RI,"Efisiensi pengadaan buku lewat SIPLah hemat Rp1,2 Triliun.",0,
6,Liputan6,@liputan6dotcom,Mendiktisaintek: Anggaran riset dosen naik 15% di 2026.,0,
7,TikTok,@edukasiviral,Sertifikasi guru dihapus demi efisiensi program Makan Gratis.,1,
8,X (Twitter),@anon_indo,Gaji ke-13 guru honorer ditiadakan karena APBN defisit.,1,
9,CNN Indonesia,@CNNIndonesia,Pemerintah pangkas eselon di Kemendiktisaintek demi efisiensi.,0,
10,Facebook,Kabar Pendidikan,Pendaftaran PPG Prajabatan 2025 dipungut biaya 5 juta.,1,
11,Tirto.id,@tirtoid,Realokasi dana abadi pendidikan untuk hilirisasi industri.,0,
12,Republika,@republikaonline,Kemendikdasmen fokus efisiensi pada renovasi sekolah rusak.,0,
13,LLDikti,@lldikti_wil3,Pengetatan syarat bantuan operasional PTN-BH tahun 2026.,0,
14,YouTube,Berita Terkini,Video: Jokowi resmi hapus uang kuliah tunggal (UKT).,1,
15,WhatsApp,Grup Sekolah,Scan QR Code ini untuk dapat subsidi perangkat laptop gratis.,1,
16,Instagram,@infokampus,Kuota KIP Kuliah 2025 dipotong 70% secara nasional.,1,
17,TikTok,@politikupdate,Dana sertifikasi dosen dialihkan untuk subsidi BBM.,1,
18,Kemenkeu,Nota Keuangan,Dana Pendidikan 2026 capai Rp722 T meski ada efisiensi.,0,
19,Kompas,@hariankompas,Skema Matching Fund kurangi ketergantungan kampus pada APBN.,0,
20,Setkab RI,@setkabgoid,Inpres No. 5/2024 tentang optimalisasi dana pendidikan daerah.,0,
21,CNBC Indonesia,@cnbcindonesia,Efisiensi belanja barang Kemendiktisaintek capai Rp800 M.,0,
22,Facebook,Forum Honorer,Syarat NUPTK dihapus agar dana BOS cepat cair ke guru.,1,
23,WhatsApp,Pesan Berantai,Bantuan renovasi mushola sekolah dari Kemendikdasmen.,1,
24,X (Twitter),@guru_gariskeras,Tunjangan khusus daerah terpencil dihapus tahun ini.,1,
25,Instagram,@beasiswagratis,Pendaftaran Beasiswa Unggulan lewat situs .xyz (Palsu).,1,
26,Tempo,@tempodotco,Audit BPK temukan inefisiensi dana penelitian di 5 PTN.,0,
27,Instagram,@beasiswahunter,Beasiswa LPDP khusus dalam negeri mulai semester depan.,1,
