No,Sumber,Akun / Media,Judul / Narasi,Label Manual,Label Otomatis
1,Kemenkeu RI,@KemenkeuRI,pemangkasan biaya dinas inpres,0,
2,Detik Edu,@detikcom,kemendiktisaintek refocusing rp riset prioritas,0,
3,Kompas.com,@kompascom,digitalisasi laporan bosp arkas hemat biaya admin,0,
4,WhatsApp,Grup Paguyuban,link pendaftaran bantuan kuota belajar gb tahun,1,
5,Antara News,@antaranews,merger pts kecil efisiensi operasional dikti,0,
6,Facebook,Info Guru Indonesia,dana bos ditarik pusat bangun ikn,1,
7,Kemendikdasmen,@Kemdikbud_RI,efisiensi pengadaan buku siplah hemat rp triliun,0,
8,Liputan6,@liputan6dotcom,mendiktisaintek anggaran riset dosen naik,0,
9,TikTok,@edukasiviral,sertifikasi guru dihapus demi efisiensi program makan gratis,1,
10,X (Twitter),@anon_indo,gaji guru honorer ditiadakan apbn defisit,1,
11,CNN Indonesia,@CNNIndonesia,pemerintah pangkas eselon kemendiktisaintek demi efisiensi,0,
12,Facebook,Kabar Pendidikan,pendaftaran ppg prajabatan dipungut biaya juta,1,
13,Tirto.id,@tirtoid,realokasi dana abadi pendidikan hilirisasi industri,0,
14,Republika,@republikaonline,kemendikdasmen fokus efisiensi renovasi sekolah rusak,0,
15,LLDikti,@lldikti_wil3,pengetatan syarat bantuan operasional ptn bh tahun,0,
16,YouTube,Berita Terkini,video jokowi resmi hapus uang kuliah tunggal ukt,1,
17,WhatsApp,Grup Sekolah,scan qr code dapat subsidi perangkat laptop gratis,1,
18,Instagram,@infokampus,kuota kip kuliah dipotong secara nasional,1,
19,TikTok,@politikupdate,dana sertifikasi dosen dialihkan subsidi bbm,1,
20,Kemenkeu,Nota Keuangan,dana pendidikan capai rp efisiensi,0,
21,Kompas,@hariankompas,skema matching fund kurangi ketergantungan kampus apbn,0,
22,Setkab RI,@setkabgoid,inpres tentang optimalisasi dana pendidikan daerah,0,
23,CNBC Indonesia,@cnbcindonesia,efisiensi belanja barang kemendiktisaintek capai rp,0,
24,Facebook,Forum Honorer,syarat nuptk dihapus dana bos cepat cair guru,1,
25,WhatsApp,Pesan Berantai,bantuan renovasi mushola sekolah kemendikdasmen,1,
26,X (Twitter),@guru_gariskeras,tunjangan khusus daerah terpencil dihapus tahun,1,
27,Instagram,@beasiswagratis,pendaftaran beasiswa unggulan situs xyz palsu,1,
28,Tempo,@tempodotco,audit bpk temukan inefisiensi dana penelitian ptn,0,
29,Instagram,@beasiswahunter,beasiswa lpdp khusus negeri mulai semester,1,
30,WhatsApp,Broadcast,subsidi ukt mahasiswa semester cair link,1,
31,Kemendikbud,Rilis Pers,realokasi rp dana pendidikan kuota internet,0,
32,WhatsApp,Grup Kelas,link pulsa gratis gb periode ppkm jilid,1,
33,Kemenkeu,Laporan APBN,efisiensi perjalanan dinas kemendikbud hemat rp,0,
34,Facebook,Info Loker,kemendikbud butuh tenaga relawan pengajar tanpa gaji,1,
35,Detik Finance,@detikcom,investasi dana abadi pendidikan lpdp tembus rp triliun,0,
36,TikTok,@mhs_update,ukt naik dana dialihkan kereta cepat,1,
37,Humas PTN,@univ_indonesia,ui terapkan efisiensi energi tekan biaya operasional,0,
38,WhatsApp,Grup Guru,pencairan tpg harus membayar administrasi rp rb dinas,1,
39,Kompasiana,Opini,efisiensi kurikulum merdeka kurangi beban cetak soal kertas,0,
40,Instagram,@scholarship_id,beasiswa fulbright dihentikan penghematan anggaran,1,
41,Biro Pusat Statistik,Laporan 2023,penurunan biaya operasional sekolah per siswa daerah,0,
42,X (Twitter),@lapor_mas,dana bos hangus lapor pajak bulan,1,
43,Kemendiktisaintek,@kemendikti,fokus riset efisiensi energi ketahanan pangan,0,
44,Facebook,Berita Guru,sertifikasi guru lulusan,1,
45,Antara News,@antaranews,kemendikdasmen kaji ulang efisiensi dana tunjangan daerah,0,
46,WhatsApp,Grup Guru,link pendaftaran bantuan laptop gratis mendikbud nadiem makarim januari,1,
47,Facebook,Info Pendidikan,dana sertifikasi guru dialihkan pembangunan ibu kota ikn,1,
48,TikTok,@edukasiviral,berita gembira nadiem makarim hapus biaya ukt mahasiswa se indonesia,1,
49,Instagram,@beasiswahunter,pendaftaran beasiswa lpdp ditutup total penghematan anggaran,1,
50,WhatsApp,Broadcast,pencairan tunjangan profesi guru tpg januari harus klik link daftar tpg xyz,1,
51,X (Twitter),@anon_indo,dana bantuan sekolah bos januari macet dialihkan membayar utang negara,1,
52,Kompas.com,@kompascom,nadiem pangkas jabatan eselon iii iv kemendikbud demi struktur ramping,0,
53,Antara News,@antaranews,skema dana bos porsi gaji honorer naik maksimal jadi,0,
54,Detik Edu,@detikcom,efisiensi un kemendikbud pastikan un terakhir dilaksanakan,0,
55,Tempo,@tempodotco,kemendikbud sederhanakan rpp menjadi halaman efisiensi kerja guru,0,
56,Liputan6,@liputan6dotcom,mendikbud hapus usbn berikan kewenangan ujian penuh sekolah,0,
57,CNN Indonesia,@CNNIndonesia,efisiensi administrasi kemendikbud uji coba sistem ijazah digital nasional,0,
58,Tirto.id,@tirtoid,kebijakan kampus merdeka otonomi pembukaan prodi efisiensi ptn pts,0,
59,Republika,@republikaonline,pemerintah naikkan unit cost dana bos per siswa tingkatkan mutu sekolah,0,
60,LLDikti,@lldikti_wil3,penyatuan merger perguruan tinggi swasta kecil efisiensi operasional,0,
61,Kemenkeu,Nota Keuangan,anggaran fungsi pendidikan januari tetap diprioritaskan apbn,0,
62,Facebook,Kabar Guru,syarat sertifikasi guru tahun wajib lulusan minimal strata,1,
63,YouTube,Berita News,video nadiem makarim resmi hapus tunjangan guru sertifikasi,1,
64,Kompas,@hariankompas,digitalisasi pengadaan barang sekolah siplah cegah inefisiensi harga,0,
65,Setkab RI,@setkabgoid,perpres tentang penyederhanaan organisasi lingkungan kemendikbud,0,
66,CNBC Indonesia,@cnbcindonesia,kemendikbud pangkas anggaran perjalanan dinas sebesar rp miliar tahun,0,
67,WhatsApp,Grup Sekolah,subsidi pulsa internet gb kemdikbud cair januari klik link,1,
68,Instagram,@infokampus,kip kuliah diberikan mahasiswa wilayah pulau jawa,1,
69,TikTok,@politikupdate,dana abadi pendidikan dikuras habis membiayai proyek kereta cepat,1,
70,Facebook,Forum Honorer,nadiem makarim resmi hapus status guru honorer mulai akhir januari,1,
71,Tempo,@tempodotco,audit bpk temukan inefisiensi program buku kurikulum lama,0,
72,Kemendikbud,Rilis Pers,program organisasi penggerak diluncurkan efisiensi pelatihan guru,0,
73,WhatsApp,Pesan Berantai,bantuan renovasi perpustakaan sekolah rp juta cair link bit ly,1,
74,X (Twitter),@guru_cerdas,tunjangan khusus daerah terpencil dihapus per januari efisiensi,1,
75,Kemendikbud,Rilis Pers,program organisasi penggerak diluncurkan efisiensi pelatihan guru,0,
76,Instagram,@beasiswagratis,pendaftaran beasiswa unggulan januari situs pendaftaran online tk,1,
77,WhatsApp,Grup Kelas,subsidi biaya buku semester genap rp rb per siswa daftar link,1,
78,Facebook,Info Loker,kemendikbud rekrut relawan pengajar tanpa gaji daerah,1,
79,TikTok,@mhs_update,ukt naik drastis subsidi dialihkan pembangunan infrastruktur,1,
80,WhatsApp,Grup Guru,sertifikasi guru triwulan cair cepat membayar admin rp rb,1,
81,Kemenkeu,Laporan APBN,realisasi anggaran pendidikan januari capai rp triliun,0,
82,Detik Finance,@detikcom,investasi dana abadi pendidikan lpdp capai target efisiensi laba,0,
83,Humas PTN,@univ_indonesia,ui lakukan efisiensi belanja rutin dialihkan riset mahasiswa,0,
84,Kompasiana,Opini,kebijakan rpp lembar langkah berani nadiem lakukan efisiensi guru,0,
85,BPS,Laporan 2020,statistik menunjukkan penurunan biaya admin sekolah berkat transfer langsung bos,0,
86,Instagram,@scholarship_id,beasiswa fulbright dihentikan sementara penghematan dana bilateral,1,
87,X (Twitter),@lapor_mas,dana bos hangus kepala sekolah lapor penggunaan aplikasi januari,1,
88,Facebook,Berita Guru,guru lulus sertifikasi januari wajib mengembalikan gaji,1,
89,WhatsApp,Grup WA,link survei pendidikan januari berhadiah saldo ovo rp rb kemdikbud,1,
90,TikTok,@infosekolah,daftar sekolah ditutup januari kekurangan dana,1,
91,X (Twitter),@edunews,pemerintah batalkan bantuan kip kuliah mahasiswa prodi sastra,1,
92,Kemendikbud,@kemdikbud,nadiem un mulai anggaran dialihkan asesmen nasional,0,
93,Antara News,@antaranews,kemendikbud kaji efisiensi dana tunjangan profesi guru pns,0,
94,Liputan6,@liputan6dotcom,transformasi smk fokus efisiensi link and match industri,0,
95,Tirto.id,@tirtoid,analisis skema transfer bos langsung pangkas rantai birokrasi daerah,0,
96,CNN Indonesia,@CNNIndonesia,nadiem penggunaan dana bos fleksibel membeli alat penunjang sekolah,0,
97,WhatsApp,Grup Guru,perintah pengisian formulir data pribadi penerimaan ponsel android gratis kemdikbud,1,
98,Kompas.com,@kompascom,kemendikbud alokasikan rp triliun peningkatan kompetensi guru,0,
99,Facebook,Info Viral,kemendikbud resmi hapus dana bantuan sekolah swasta mulai semester,1,
100,Antara News,@antaranews,kemendikbud dorong efisiensi anggaran penggabungan merger lembaga riset,0,
101,Kemendikbud,@Kemdikbud_RI,kebijakan kampus merdeka efisiensi syarat akreditasi perguruan tinggi,0,
102,WhatsApp,Grup Kampus,link survei mahasiswa berhadiah uang saku rp rb kemendikbud,1,
103,CNBC Indonesia,@cnbcindonesia,kemenkeu setujui skema bos langsung pangkas biaya transaksi daerah,0,
104,Facebook,Forum Guru,mulai januari tunjangan fungsional guru dihapus diganti bonus kinerja,1,
105,Liputan6,@liputan6dotcom,mendikbud anggaran un tetap menjadi terakhir kalinya,0,
106,TikTok,@edukasioke,dapat dana hibah penelitian dosen tanpa seleksi link hibah com,1,
107,Tempo.co,@tempodotco,kemendikbud integrasikan pangkalan data dapodik efisiensi bansos siswa,0,
108,Instagram,@info_beasiswa,lpdp jurusan teknik demi efisiensi kebutuhan industri,1,
109,Republika,@republikaonline,pemerintah fokuskan dana pendidikan penguatan pendidikan vokasi smk,0,
110,X (Twitter),@loker_guru,lowongan guru tetap tanpa tes kemendikbud januari membayar biaya admin,1,
111,Antara News,@antaranews,nadiem makarim sebut efisiensi birokrasi kampus tingkatkan inovasi dosen,0,
112,WhatsApp,Grup Guru,informasi pemangkasan dana pensiun guru mulai januari,1,
113,Kompas.com,@kompascom,kemendikbud hapus aturan kewajiban publikasi jurnal mahasiswa,0,
114,Facebook,Kabar Sekolah,dana bos tahun dilarang digunakan memperbaiki bangunan fisik,1,
115,Detik Edu,@detikcom,program merdeka belajar efisiensi administratif rpp bikin guru produktif,0,
116,TikTok,@beritapolitik,nadiem makarim gunakan dana pendidikan investasi perusahaan teknologi,1,
117,Tirto.id,@tirtoid,analisis skema dana bos kurangi risiko pengendapan dana kas daerah,0,
118,Instagram,@mhs_hits,link pembagian laptop gratis januari mahasiswa punya kip,1,
119,CNN Indonesia,@CNNIndonesia,kemendikbud rencanakan penggabungan direktorat jenderal demi efisiensi anggaran,0,
120,WhatsApp,Broadcast,batas akhir aktivasi kartu bantuan guru honorer link bantuan guru tk,1,
121,Liputan6,@liputan6dotcom,nadiem guru perlu habiskan berjam jam bikin administrasi,0,
122,Facebook,Netizen Peduli,dana kip kuliah resmi dipotong membeli seragam dinas,1,
123,Antara News,@antaranews,kemendikbud gandeng swasta program magang mahasiswa guna hemat biaya,0,
